subset,repo,group,release,file_id,path_rel,loc_total,block_count,blocks_per_file,blocks_per_kloc
core,nose,old_2000s,0.11.1,fe5ec8cfb04a85c93dce11b30c1da9b7b3fce0e4,scripts/mkrelease.py,87,9,9.0,103.44827586206897
core,nose,old_2000s,0.11.1,5739b84ebed140d92550eedda6f348642d6baf80,scripts/mkwiki.py,379,14,14.0,36.93931398416886
core,nose,old_2000s,0.11.1,fbbd9dbb5dff6a800a16385d04867c4f393737a4,nose/__init__.py,15,1,1.0,66.66666666666667
core,nose,old_2000s,0.11.1,9a3ff4d6e0307991837c5b849a4d2c6337d7211f,nose/case.py,380,11,11.0,28.94736842105263
core,nose,old_2000s,0.11.1,8618332d98fabc2babf3e7ffbde52cd434f41a57,nose/commands.py,146,1,1.0,6.849315068493151
core,nose,old_2000s,0.11.1,4d7cc696929f7fdab3acc39136e00bbf5e6619f4,nose/config.py,571,14,14.0,24.518388791593697
core,nose,old_2000s,0.11.1,271c14d040d7707d603eb1bb9aa024422e0e9612,nose/core.py,311,6,6.0,19.292604501607716
core,nose,old_2000s,0.11.1,2a33e558f57b2d5019c63a5f416a5452b8ec4b7e,nose/exc.py,9,0,0.0,0.0
core,nose,old_2000s,0.11.1,e158d8f58881132a1465d81ba8bf1b0707bca5f9,nose/failure.py,39,1,1.0,25.641025641025642
core,nose,old_2000s,0.11.1,69f12cee9770185525ae8994a5c7c050f480b97d,nose/importer.py,154,7,7.0,45.45454545454545
core,nose,old_2000s,0.11.1,0a5820cc1352861242499ed758d4247d5b332465,nose/inspector.py,205,10,10.0,48.78048780487805
core,nose,old_2000s,0.11.1,95686c339a9aa9f89adcf97b1731cc841cad2622,nose/loader.py,562,30,30.0,53.380782918149464
core,nose,old_2000s,0.11.1,9705168b9ada5a2c8f3d44cd5e90d77b48dac65f,nose/proxy.py,168,3,3.0,17.857142857142858
core,nose,old_2000s,0.11.1,50103433f2445477dee57c8d5703ce57d1f23980,nose/result.py,175,8,8.0,45.714285714285715
